	Year	Team and Location	FT/Game	Wins	Loss	Win%	Attendance
89	2011	Houston Rockets	25.4024390244	47	35	57.3170731707	16191
90	2012	Boston Celtics	19.8181818182	39	27	59.0909090909	18624
91	2012	New York Knicks	24.7575757576	41	25	62.1212121212	19763
92	2012	Philadelphia 76ers	18.1515151515	43	23	65.1515151515	17502
93	2012	Toronto Raptors	21.3636363636	25	41	37.8787878788	16835
94	2012	New Jersey Nets	21.7121212121	19	47	28.7878787879	13961
95	2012	Chicago Bulls	21.1212121212	51	15	77.2727272727	22161
96	2012	Indiana Pacers	26.1212121212	41	25	62.1212121212	14168
97	2012	Milwaukee Bucks	21.4393939394	34	32	51.5151515152	14718
98	2012	Detroit Pistons	22.1363636364	22	44	33.3333333333	14413
99	2012	Cleveland Cavaliers	24.9242424242	17	49	25.7575757576	15926
100	2012	Miami Heat	24.2121212121	47	19	71.2121212121	19935
101	2012	Atlanta Hawks	20.9848484848	41	25	62.1212121212	15199
102	2012	Orlando Magic	22.8484848485	35	31	53.0303030303	18896
103	2012	Washington Wizards	21.0	22	44	33.3333333333	16728
104	2012	Charlotte Bobcats	22.1515151515	7	59	10.6060606061	14757
105	2012	New Orleans Hornets	21.1666666667	24	42	36.3636363636	14757
106	2012	Oklahoma City Thunder	26.4242424242	46	20	69.696969697	18203
107	2012	Denver Nuggets	26.6666666667	39	27	59.0909090909	17029
108	2012	Utah Jazz	25.2727272727	34	32	51.5151515152	19306
109	2012	Portland Trail Blazers	21.5606060606	32	34	48.4848484848	20496
110	2012	Minnesota Timberwolves	25.1818181818	28	38	42.4242424242	17490
111	2012	Los Angeles Lakers	24.0757575758	36	30	54.5454545455	18997
112	2012	Los Angeles Clippers	23.303030303	39	27	59.0909090909	19219
113	2012	Phoenix Suns	21.1666666667	32	34	48.4848484848	15597
114	2012	Golden State Warriors	18.7121212121	25	41	37.8787878788	18857
115	2012	Sacramento Kings	23.2121212121	21	45	31.8181818182	14508
116	2012	San Antonio Spurs	21.6212121212	48	18	72.7272727273	18396
117	2012	Memphis Grizzlies	22.7878787879	38	28	57.5757575758	15704
118	2012	Dallas Mavericks	20.2121212121	35	31	53.0303030303	20334
119	2012	Houston Rockets	19.7121212121	34	32	51.5151515152	15363
120	2013	New York Knicks	21.0853658537	53	29	64.6341463415	19033
121	2013	Brooklyn Nets	23.8780487805	46	36	56.0975609756	17187
122	2013	Boston Celtics	20.962962963	40	41	49.3827160494	18624
123	2013	Philadelphia 76ers	16.7926829268	31	51	37.8048780488	16717
124	2013	Toronto Raptors	22.3292682927	37	45	45.1219512195	18144
125	2013	Indiana Pacers	23.6419753086	52	29	64.1975308642	15269
126	2013	Chicago Bulls	21.1951219512	42	40	51.2195121951	21876
127	2013	Milwaukee Bucks	20.7317073171	37	45	45.1219512195	15035
128	2013	Detroit Pistons	22.8048780488	29	53	35.3658536585	14782
129	2013	Cleveland Cavaliers	22.2682926829	28	54	34.1463414634	16192
130	2013	Miami Heat	23.012195122	62	20	75.6097560976	19982
131	2013	Atlanta Hawks	19.743902439	42	40	51.2195121951	15125
132	2013	Washington Wizards	21.2926829268	33	49	40.243902439	16343
133	2013	Charlotte Bobcats	25.1219512195	17	65	20.7317073171	15324
134	2013	New Orleans Hornets	19.9512195122	30	52	36.5853658537	15324
135	2013	Orlando Magic	16.5731707317	22	60	26.8292682927	17595
136	2013	Oklahoma City Thunder	26.7804878049	64	18	78.0487804878	18203
137	2013	Denver Nuggets	26.1951219512	55	27	67.0731707317	17819
138	2013	Utah Jazz	22.9634146341	41	41	50.0	18680
139	2013	Portland Trail Blazers	20.487804878	32	50	39.0243902439	19829
140	2013	Minnesota Timberwolves	24.9024390244	34	48	41.4634146341	16340
141	2013	Los Angeles Clippers	23.0243902439	59	23	71.9512195122	19226
142	2013	Golden State Warriors	21.2682926829	44	38	53.6585365854	19373
143	2013	Los Angeles Lakers	27.9146341463	44	38	53.6585365854	18997
144	2013	Sacramento Kings	22.7926829268	28	54	34.1463414634	13749
145	2013	Phoenix Suns	19.7317073171	23	59	28.0487804878	15436
146	2013	San Antonio Spurs	21.0365853659	58	24	70.7317073171	18431
147	2013	Memphis Grizzlies	21.2926829268	54	28	65.8536585366	16624
148	2013	Houston Rockets	25.4512195122	50	32	60.9756097561	16672
149	2013	Dallas Mavericks	20.3536585366	39	43	47.5609756098	20036
150	2014	Toronto Raptors	25.0609756098	50	32	60.9756097561	18252
151	2014	Brooklyn Nets	24.4146341463	38	44	46.3414634146	17251
152	2014	New York Knicks	20.3658536585	39	43	47.5609756098	19812
153	2014	Boston Celtics	20.8048780488	28	54	34.1463414634	18107
154	2014	Philadelphia 76ers	23.3902439024	16	66	19.512195122	13869
155	2014	Indiana Pacers	23.256097561	54	28	65.8536585366	17501
156	2014	Chicago Bulls	23.2682926829	47	35	57.3170731707	21716
157	2014	Cleveland Cavaliers	22.6951219512	32	50	39.0243902439	17329
158	2014	Detroit Pistons	25.743902439	31	51	37.8048780488	15005
159	2014	Milwaukee Bucks	22.4756097561	20	62	24.3902439024	13487
160	2014	Miami Heat	22.9756097561	54	28	65.8536585366	19781
161	2014	Washington Wizards	20.9146341463	45	37	54.8780487805	17026
162	2014	Charlotte Bobcats	24.3902439024	40	42	48.7804878049	15518
163	2014	Atlanta Hawks	21.7317073171	40	42	48.7804878049	14339
164	2014	Orlando Magic	20.9024390244	26	56	31.7073170732	16245
165	2014	Oklahoma City Thunder	25.0243902439	58	24	70.7317073171	18203
166	2014	Portland Trail Blazers	23.487804878	52	30	63.4146341463	19746
167	2014	Minnesota Timberwolves	28.0609756098	48	34	58.5365853659	14564
168	2014	Denver Nuggets	26.2682926829	35	47	42.6829268293	16899
169	2014	Utah Jazz	21.987804878	22	60	26.8292682927	18175
170	2014	Los Angeles Clippers	29.0731707317	59	23	71.9512195122	19212
171	2014	Golden State Warriors	21.1097560976	54	28	65.8536585366	19596
172	2014	Phoenix Suns	24.4390243902	48	34	58.5365853659	15871
173	2014	Sacramento Kings	27.2804878049	33	49	40.243902439	16291
174	2014	Los Angeles Lakers	22.3780487805	25	57	30.487804878	18828
175	2014	San Antonio Spurs	20.0243902439	61	21	74.3902439024	18415
176	2014	Houston Rockets	31.0853658537	53	29	64.6341463415	18123
177	2014	Memphis Grizzlies	20.3170731707	46	36	56.0975609756	16718
178	2014	Dallas Mavericks	21.1341463415	48	34	58.5365853659	19950
179	2014	New Orleans Pelicans	23.6097560976	33	49	40.243902439	16390
180	2015	Toronto Raptors	24.5609756098	49	33	59.756097561	19751
181	2015	Boston Celtics	20.4634146341	41	41	50.0	17593
182	2015	Brooklyn Nets	22.1585365854	33	49	40.243902439	17037
183	2015	Philadelphia 76ers	23.8170731707	18	64	21.9512195122	13940
184	2015	New York Knicks	19.2073170732	17	65	20.7317073171	19812
185	2015	Cleveland Cavaliers	23.5853658537	53	29	64.6341463415	20562
186	2015	Chicago Bulls	25.2073170732	50	32	60.9756097561	21343
187	2015	Milwaukee Bucks	21.1463414634	42	40	51.2195121951	14907
188	2015	Indiana Pacers	22.1585365854	42	40	51.2195121951	16864
189	2015	Detroit Pistons	22.4146341463	38	44	46.3414634146	15266
190	2015	Atlanta Hawks	21.1585365854	56	26	68.2926829268	17412
191	2015	Washington Wizards	21.4390243902	43	39	52.4390243902	18238
192	2015	Miami Heat	23.6585365854	33	49	40.243902439	19712
193	2015	Charlotte Hornets	22.7682926829	32	50	39.0243902439	17192
194	2015	Orlando Magic	19.0853658537	25	57	30.487804878	16785
195	2015	Portland Trail Blazers	19.3780487805	53	29	64.6341463415	19554
196	2015	Oklahoma City Thunder	24.6341463415	47	35	57.3170731707	18203
197	2015	Utah Jazz	23.5243902439	42	40	51.2195121951	18830
198	2015	Denver Nuggets	24.2804878049	31	51	37.8048780488	14700
199	2015	Minnesota Timberwolves	25.7317073171	19	63	23.1707317073	14528
200	2015	Golden State Warriors	20.8414634146	65	17	79.2682926829	19596
201	2015	Los Angeles Clippers	25.2073170732	58	24	70.7317073171	19168
202	2015	Phoenix Suns	21.5487804878	38	44	46.3414634146	16923
203	2015	Sacramento Kings	29.2682926829	31	51	37.8048780488	16586
204	2015	Los Angeles Lakers	23.5975609756	23	59	28.0487804878	18737
205	2015	Houston Rockets	26.012195122	50	32	60.9756097561	18229
206	2015	San Antonio Spurs	21.3902439024	58	24	70.7317073171	18606
207	2015	Memphis Grizzlies	22.7926829268	50	32	60.9756097561	17329
